,sh,kingdom,phylum,class,order,family,genus,assignedLevel
1112,SH1104890.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,genus
1113,SH1224739.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Incrustoporiaceae,g__Skeletocutis,genus
1114,SH1271482.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiales,,,order
1116,SH0957306.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
1117,SH1305004.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Verrucariales,,,order
1120,SH1098107.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,,,order
1121,SH1201642.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricomycetes_ord_Incertae_sedis,f__Agaricomycetes_fam_Incertae_sedis,g__Xenasmatella,genus
1122,SH1087548.09FU,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiales_fam_Incertae_sedis,g__Robertozyma,genus
1123,SH0880099.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
1125,SH0997976.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,genus
1131,SH1000195.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
1132,SH0982917.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Incrucipulum,genus
1133,SH1254925.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
1135,SH1201635.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricomycetes_ord_Incertae_sedis,f__Agaricomycetes_fam_Incertae_sedis,g__Xenasmatella,genus
1138,SH1000115.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
1139,SH0934489.09FU,k__Fungi,p__Ascomycota,,,,,phylum
1142,SH1233132.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentellopsis,genus
1143,SH1000233.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
1144,SH0912698.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
1145,SH1224171.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,genus
1146,SH1215016.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Agaricus,genus
1147,SH0905525.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
1148,SH1274972.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Funneliformis,genus
1150,SH1167443.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,genus
1151,SH0968549.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,class
1152,SH1051126.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,order
1153,SH0909984.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
1154,SH1085675.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizoglomus,genus
1156,SH1199726.09FU,k__Fungi,p__Ascomycota,,,,,phylum
1158,SH1001664.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,,,,class
1159,SH1258265.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,,family
1160,SH1164523.09FU,k__Fungi,p__Blastocladiomycota,c__Blastocladiomycetes,o__Blastocladiales,f__Catenariaceae,g__Catenaria,genus
1161,SH1198283.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,genus
1162,SH1027645.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,,,order
1165,SH0987323.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum,genus
1166,SH1219969.09FU,k__Fungi,p__Glomeromycota,,,,,phylum
1167,SH0970867.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
1168,SH0909950.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
1169,SH1267658.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
1170,SH1326098.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Irpicaceae,g__Ceriporia,genus
1171,SH0965806.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
1172,SH1291852.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Amphisphaeriaceae,g__Lepteutypa,genus
1174,SH1050378.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,,,order
1175,SH0995829.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Claussenomyces,genus
1176,SH1284743.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
1177,SH1226881.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,genus
1178,SH1111924.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,,,,class
1179,SH1195793.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
1180,SH0916714.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Pseudoplagiostomataceae,g__Pseudoplagiostoma,genus
1182,SH0994428.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
1183,SH1254909.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
1186,SH1217002.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Phanerochaetaceae,g__Oxychaete,genus
1187,SH1330550.09FU,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,,,,class
1189,SH0990367.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Protounguicularia,genus
1191,SH0951075.09FU,k__Fungi,p__Ascomycota,,,,,phylum
