,sh,phylum,class,order,family,genus,species
16870,AB084588.1.1670,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Ceriporia,Ceriporia spissa
16890,AB085797.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,Papiliotrema flavescens
16933,AB054541.1.1760,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Ambrosiozyma,Ambrosiozyma llanquihuensis
16942,AB054567.1.1774,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces-Candida,Wickerhamomyces-Candida clade
16943,AB035718.1.2186,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa ogasawarensis
16960,AB040998.1.1755,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces mikatae
16963,AB055193.1.1761,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Incertae Sedis,Occultifur,Occultifur externus
17027,AB054269.1.1753,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces fabryi
17033,AB035715.1.2175,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa ogasawarensis
17047,AB054546.1.1761,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
17048,AB040997.1.1755,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces kudriavzevii
17065,AB054264.1.1753,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Priceomyces,Priceomyces melissophilus
17077,AB054277.1.1753,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces prosopidis
17086,AB054289.1.1755,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Babjeviella,Babjeviella inositovora
17137,AB035583.1.1793,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Vanrija,Vanrija humicola
17214,AB075361.1.1686,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Helicocarpus,Helicocarpus griseus
17220,AB072228.1.1781,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Itersonilia,Itersonilia perplexans
17228,AB075430.1.1659,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Thysanophora,Thysanophora penicillioides
17272,AB027410.1.1769,Ascomycota,Eurotiomycetes,Eurotiales,Incertae Sedis,Eladia,Penicillium sacculum
17332,AB032070.1.1769,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium lagena
17346,AB032616.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia albida
17356,AB032623.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia bhutanensis
17378,KF913249.1.1719,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus
17383,AB079127.1.1747,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps confragosa
17384,AB032656.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia vishniacii
17415,AB075362.1.1686,Ascomycota,Eurotiomycetes,Incertae Sedis,Incertae Sedis,Pseudospiromastix,Pseudospiromastix tentaculata
17425,AB053238.1.1734,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,[Candida] pseudolambica
17429,AB053243.1.1735,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,[Candida] inconspicua
17436,AB048282.1.1785,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Ascotricha,Ascotricha lusitanica
17512,AB053234.1.1747,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Kregervanrija,Kregervanrija fluxuum
17524,AB053246.1.1734,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia scutulata
